"post_id","party_name","case_number","case_type","case_status","file_date","status_date"
83377416,Middlesex Savings Bank,"1749SC000335",Small Claims,Disposed (Statistical Purposes),20170404,20170816
83389871,Middlesex Savings Bank,"1749CV000170",Civil,Disposed (Statistical Purposes),20170407,20170602
83929984,Middlesex Savings Bank,"2081CV00761",Contract / Business Cases,Open,20200318,20200319
83999222,Middlesex Savings Bank,"1981CV03813",Contract / Business Cases,Open,20191223,20191223
84072249,Middlesex Savings Bank,"1681CV03688",Real Property,Open,20161223,20161223
84088738,Middlesex Savings Bank,"1781CV01063",Contract / Business Cases,Open,20170407,20170407
84092970,Middlesex Savings Bank,"1981CV02833",Contract / Business Cases,Open,20190926,20190926
84713372,Middlesex Savings Bank,"1881CV00260",Real Property,Open,20180129,20180129
84843522,Middlesex Savings Bank,"1881CV00338",Real Property,Open,20180205,20180205
84953100,Middlesex Savings Bank,"1782CV01272",Real Property,Open,20171013,20171013
85199927,Middlesex Savings Bank,"1949CV000021",Civil,Disposed (Statistical Purposes),20190122,20200309
85207536,Middlesex Savings Bank,"1868SP000044",Supplementary Process,Disposed (Statistical Purposes),20180731,20181001
85208518,Middlesex Savings Bank,"1868SP000043",Supplementary Process,Disposed (Statistical Purposes),20180731,20181001
85284455,Middlesex Savings Bank,"1868CV000041",Civil,Disposed (Statistical Purposes),20180312,20180605
85508068,Middlesex Savings Bank,"1781CV01646",Contract / Business Cases,Open,20170601,20170601
85757709,Middlesex Savings Bank,"2187CV000042EF",Civil,Disposed (Statistical Purposes),20210609,20210809
85767913,Middlesex Savings Bank,"1887CV000115",Civil,Open,20181029,20181029
85848825,Middlesex Savings Bank,"1866CV000230",Civil,Closed,20180810,20181211
85912542,Middlesex Savings Bank,"1887CV000061",Civil,Disposed (Statistical Purposes),20180612,20180621
85921679,Middlesex Savings Bank,"1887CV000026",Civil,Disposed (Statistical Purposes),20180228,20180711
85948224,Middlesex Savings Bank,"1887SP000020",Supplementary Process,Open,20180806,20180806
87135157,Middlesex Savings Bank,"1981CV01149",Contract / Business Cases,Suspended,20190424,20190718
87306175,Middlesex Savings Bank,"1881CV00976",Real Property,Open,20180405,20180405
87396547,Middlesex Savings Bank,"1881CV03039",Contract / Business Cases,Open,20181022,20181022
87509564,Middlesex Savings Bank,"1881CV03482",Equitable Remedies,Open,20181205,20181205
87560647,Middlesex Savings Bank,"1882CV00581",Real Property,Open,20180504,20180504
87672153,Middlesex Savings Bank,"1884CV02174",Contract / Business Cases,Closed,20180713,20190116
87782188,Middlesex Savings Bank,"1885CV00497",Real Property,Open,20180402,20180402
87811296,Middlesex Savings Bank,"1764SP000007",Supplementary Process,Disposed (Statistical Purposes),20170123,20170201
87811297,Middlesex Savings Bank,"1764SP000007",Supplementary Process,Disposed (Statistical Purposes),20170123,20170201
87811298,Middlesex Savings Bank,"1764SP000007",Supplementary Process,Disposed (Statistical Purposes),20170123,20170201
87861703,Middlesex Savings Bank,"1749SC000033",Small Claims,Closed,20170112,20181210
88198749,Middlesex Savings Bank,"1721SC000808",Small Claims,Disposed (Statistical Purposes),20171120,20180116
88203727,Middlesex Savings Bank,"1721SC000809",Small Claims,Disposed (Statistical Purposes),20171120,20180118
88308787,Middlesex Savings Bank,"1987CV000039",Civil,Disposed (Statistical Purposes),20190626,20191118
88313508,Middlesex Savings Bank,"1987CV000040",Civil,Disposed (Statistical Purposes),20190628,20191211
2737590,MIDDLESEX sAVINGS bANK f/k/A STRATA,"1187CV000162",Civil,Disposed (Statistical Purposes),20110819,20120127
